handwritten,rules,cost-filter,no-dup-vars,sub-prog,split-phase,bench,variable,value
False,,2.0,True,False,False,q-prod,cost,606.5590000000001
False,,2.0,True,False,False,2d-conv,time,0.002537250518798828
False,,2.0,True,False,False,2d-conv,cost,912.9159999999999
False,,2.0,False,True,True,q-prod,time,0.005727291107177734
False,,2.0,False,True,True,q-prod,cost,606.5590000000001
False,,2.0,False,True,True,2d-conv,time,0.0046503543853759766
False,,2.0,False,True,True,2d-conv,cost,912.9159999999999
False,,2.0,False,True,False,q-prod,time,0.005551576614379883
False,,2.0,False,True,False,q-prod,cost,606.5590000000001
False,,2.0,False,True,False,2d-conv,time,0.004487514495849609
False,,2.0,False,True,False,2d-conv,cost,912.9159999999999
False,,2.0,False,False,True,q-prod,time,0.0032896995544433594
False,,2.0,False,False,True,q-prod,cost,606.5590000000001
False,,2.0,False,False,True,2d-conv,time,0.002758502960205078
False,,2.0,False,False,True,2d-conv,cost,912.9159999999999
False,,2.0,False,False,False,q-prod,time,0.0028944015502929688
False,,2.0,False,False,False,q-prod,cost,606.5590000000001
False,,2.0,False,False,False,2d-conv,time,0.0024695396423339844
False,,2.0,False,False,False,2d-conv,cost,912.9159999999999
False,,5.0,True,True,True,q-prod,time,0.005782365798950195
False,,5.0,True,True,True,q-prod,cost,606.5590000000001
False,,5.0,True,True,True,2d-conv,time,0.004662275314331055
False,,5.0,True,True,True,2d-conv,cost,912.9159999999999
False,,5.0,True,True,False,q-prod,time,0.005544424057006836
False,,5.0,True,True,False,q-prod,cost,606.5590000000001
