rules,cost-filter,sub-prog,split-phase,bench,id,variable,value
time-ablation/rules-t-60000.json,,False,False,q-prod,69,phase_1_n,0
time-ablation/rules-t-60000.json,,False,False,q-prod,69,phase_2_n,
time-ablation/rules-t-60000.json,,False,False,q-prod,69,impr_cost,
time-ablation/rules-t-60000.json,,False,False,2d-conv,70,time,2891.065855026245
time-ablation/rules-t-60000.json,,False,False,2d-conv,70,cost,35.96999999999999
time-ablation/rules-t-60000.json,,False,False,2d-conv,70,phase_1_n,0
time-ablation/rules-t-60000.json,,False,False,2d-conv,70,phase_2_n,
time-ablation/rules-t-60000.json,,False,False,2d-conv,70,impr_cost,
time-ablation/rules-t-60000.json,,False,False,mat-mul,71,time,708.656247138977
time-ablation/rules-t-60000.json,,False,False,mat-mul,71,cost,4.948
time-ablation/rules-t-60000.json,,False,False,mat-mul,71,phase_1_n,0
time-ablation/rules-t-60000.json,,False,False,mat-mul,71,phase_2_n,
time-ablation/rules-t-60000.json,,False,False,mat-mul,71,impr_cost,
,0,True,False,q-prod,72,time,0.0042879581451416016
,0,True,False,q-prod,72,cost,nan
,0,True,False,q-prod,72,phase_1_n,
,0,True,False,q-prod,72,phase_2_n,
,0,True,False,q-prod,72,impr_cost,
,0,True,False,2d-conv,73,time,0.0031807422637939453
,0,True,False,2d-conv,73,cost,nan
,0,True,False,2d-conv,73,phase_1_n,
,0,True,False,2d-conv,73,phase_2_n,
,0,True,False,2d-conv,73,impr_cost,
,0,True,False,mat-mul,74,time,0.0017387866973876953
,0,True,False,mat-mul,74,cost,nan
,0,True,False,mat-mul,74,phase_1_n,
,0,True,False,mat-mul,74,phase_2_n,
,0,True,False,mat-mul,74,impr_cost,
